model,cluster,segment,n_customers,share,revenue,revenue_share,recency_mean,recency_median,recency_std,recency_z,frequency_mean,frequency_median,frequency_std,frequency_z,monetary_mean,monetary_median,monetary_std,monetary_z,strategy
K-Means,0,Khách hàng đã rời bỏ,990,0.22895467160037003,396664.11100000003,0.04771343627569445,254.3050505050505,252.0,64.70285096423007,1.6155494729469655,1.38989898989899,1.0,0.7694225835861895,-0.7439725158864298,400.67081919191924,282.41499999999996,518.4076388178206,-0.7678384430797797,"Kích hoạt lại: chiến dịch win-back, hoặc loại khỏi danh sách tiếp thị"
K-Means,1,Khách hàng phổ thông,2024,0.46808510638297873,1216979.622,0.14638652207967387,54.04990118577075,45.0,41.13915451965811,-0.38206506928326356,2.0350790513833994,2.0,1.0401028000049994,-0.4188316940942124,601.274516798419,501.41999999999996,477.74103657919056,-0.34935066555329886,"Tăng giá trị: gợi ý mua kèm, chương trình tích điểm để nâng tần suất"
K-Means,2,Khách hàng giá trị cao,1310,0.30296022201665124,6699823.96,0.8059000416446317,29.134351145038167,17.0,36.23419656782201,-0.6306063190749391,9.757251908396947,7.0,11.953398374603077,1.2093497248658411,5114.369435114504,2498.04,14597.445653709821,1.1200349662052353,"Giữ chân: ưu đãi riêng, chăm sóc chủ động, ưu tiên nguồn lực"
GMM,0,Khách hàng đã rời bỏ,923,0.21345975948196114,343094.061,0.04126966912842973,260.1744312026002,257.0,63.013779064861055,1.6740985802990926,1.33477789815818,1.0,0.724197236371588,-0.7726981943072581,371.71620910075836,266.45000000000005,401.9172511576616,-0.8092564019737569,"Kích hoạt lại: chiến dịch win-back, hoặc loại khỏi danh sách tiếp thị"
GMM,1,Khách hàng phổ thông,2098,0.48519888991674376,1253779.992,0.1508131189414126,56.93660629170639,46.0,44.538959539386624,-0.35326918504083976,2.0495710200190658,2.0,1.041083725622874,-0.4117497007882462,597.6072411820782,501.13,446.6729648461192,-0.3453831094197628,"Tăng giá trị: gợi ý mua kèm, chương trình tích điểm để nâng tần suất"
GMM,2,Khách hàng giá trị cao,1303,0.3013413506012951,6716593.64,0.8079172119301576,30.491941673062165,17.0,39.387004817974635,-0.6170638828859404,9.781273983115886,7.0,11.982599490161517,1.210323335072402,5154.714996162701,2526.23,14631.839340855759,1.1293610303794623,"Giữ chân: ưu đãi riêng, chăm sóc chủ động, ưu tiên nguồn lực"
HDBSCAN,-1,Chưa phân khúc (nhiễu),854,0.1975023126734505,4492154.450999999,0.5403466539940278,130.17564402810305,123.5,102.86898332177236,0.3773156081018003,7.76463700234192,3.0,15.140053166733756,0.45259211238818486,5260.134017564402,1056.15,18153.624115584073,0.3596617020051518,Không áp dụng được chính sách: cần xử lý riêng ngoài quy trình phân khúc
HDBSCAN,0,Khách hàng đã rời bỏ,1386,0.32053654024051803,419705.14099999995,0.05048496686327352,154.04761904761904,128.0,115.56798945063773,0.6154468352529755,1.0,1.0,0.0,-0.9509185237284581,302.817562049062,251.81,206.2342009045336,-0.8326792853978329,"Kích hoạt lại: chiến dịch win-back, hoặc loại khỏi danh sách tiếp thị"
HDBSCAN,1,Khách hàng giá trị cao,1502,0.34736355226641996,3057269.921,0.3677490589846453,28.404127829560586,21.0,26.6939334971064,-0.637890549812736,6.055925432756325,5.0,3.5587111747956217,0.7575333724975268,2035.4659926764316,1572.7849999999999,1507.9547299673534,0.6546529061771031,"Giữ chân: ưu đãi riêng, chăm sóc chủ động, ưu tiên nguồn lực"
HDBSCAN,2,Khách hàng phổ thông,582,0.13459759481961148,344338.18,0.04141932015805333,54.95189003436426,39.0,49.199139633287295,-0.3730674178021168,2.0,2.0,0.0,-0.3545630851944193,591.6463573883161,558.49,286.0959097018941,-0.23427193991239284,"Tăng giá trị: gợi ý mua kèm, chương trình tích điểm để nâng tần suất"
