model,params,n_clusters,n_noise,inertia,train_time,silhouette,davies_bouldin,calinski_harabasz,log_likelihood
K-Means,n_clusters=2,2,0,6839.618586908671,0.019909790949895978,0.4062967785967653,0.9144191870911705,3875.1876440845226,
K-Means,n_clusters=3,3,0,4278.7522980752055,0.004005042021162808,0.4143288889292787,0.8292628847460749,4389.589668994254,
K-Means,n_clusters=4,4,0,3212.395104780608,0.004122499958612025,0.37956386072804615,0.8578737974803747,4375.0800715757405,
K-Means,n_clusters=5,5,0,2735.154436995083,0.003477499936707318,0.3440084024985392,0.9383247350782625,4041.2204878045923,
K-Means,n_clusters=6,6,0,2365.5312040378526,0.00526029197499156,0.33232391642876985,0.9720734157953118,3872.3511452763623,
K-Means,n_clusters=7,7,0,2141.929432787605,0.0044574999483302236,0.3306483189176293,0.931656295467444,3638.1627063874366,
K-Means,n_clusters=8,8,0,1930.6375263115078,0.005634458037093282,0.3049552235377093,0.9899233081816573,3526.1931814485447,
K-Means,n_clusters=9,9,0,1826.832395742053,0.005740709020756185,0.2967941460533394,1.0625052567699413,3290.701083129405,
K-Means,n_clusters=10,10,0,1701.629363023596,0.007370583014562726,0.2929318894979144,1.0582504479691104,3174.7596995651393,
GMM,"n_components=2, covariance_type=full",2,0,,0.011489499942399561,0.30311763606405734,1.2000689271989602,2165.261750350046,-13064.30698006576
GMM,"n_components=3, covariance_type=full",3,0,,0.013770582969300449,0.18936914219104858,1.5898530734255834,1892.3605068013212,-12509.458270103745
GMM,"n_components=4, covariance_type=full",4,0,,0.027872957987710834,0.08314526043151305,2.0640025084718645,1441.2620718034063,-4326.237999640998
GMM,"n_components=5, covariance_type=full",5,0,,0.025627208990044892,0.07440024154148792,1.9829716855778128,1319.8250303570962,-129.23248178594798
GMM,"n_components=6, covariance_type=full",6,0,,0.025274708052165806,0.03561013809181271,2.220223952847164,1198.7981191631795,11.415938643129259
GMM,"n_components=7, covariance_type=full",7,0,,0.039160875021480024,0.11997893302978277,1.892468814690685,1565.4268362352361,419.092116490227
GMM,"n_components=8, covariance_type=full",8,0,,0.05351695802528411,0.060919055525631614,2.058027021670044,1291.9552927394902,451.24484293543475
GMM,"n_components=9, covariance_type=full",9,0,,0.05841891607269645,0.09847079688909675,3.0481910487716566,1352.6863116503048,532.663239256675
GMM,"n_components=10, covariance_type=full",10,0,,0.05323625006712973,-0.0012097481628701226,2.3369043406153187,866.0051251467672,4491.047600608029
GMM,"n_components=2, covariance_type=tied",2,0,,0.011007499997504056,0.3756814376209172,0.7971999567124309,2126.106254171087,-15131.563078374658
GMM,"n_components=3, covariance_type=tied",3,0,,0.011792292003519833,0.37786632138139614,0.8248132222923478,3487.493291344744,-13903.954175927964
GMM,"n_components=4, covariance_type=tied",4,0,,0.025091332965530455,0.36098024484381236,0.8441302846439358,3666.81966746046,-13719.676035457587
GMM,"n_components=5, covariance_type=tied",5,0,,0.01513770897872746,0.3287799361659669,0.9110923607914498,3661.215967988909,-13690.038712178055
GMM,"n_components=6, covariance_type=tied",6,0,,0.017382542020641267,0.30158846285591573,1.0318142175550191,3323.6011988107007,-13233.799790983609
GMM,"n_components=7, covariance_type=tied",7,0,,0.03528370801359415,0.2602283470654924,1.271810177765099,2602.0325240065704,-12997.332892365393
GMM,"n_components=8, covariance_type=tied",8,0,,0.027536709094420075,0.26144434438772957,1.070565640971643,2840.895264354143,-13079.548481808702
GMM,"n_components=9, covariance_type=tied",9,0,,0.04962299996986985,0.2507978396599614,1.146609320476941,2394.087017221353,-12953.375181558187
GMM,"n_components=10, covariance_type=tied",10,0,,0.03497583407443017,0.1950983371080318,1.4612403738189172,2087.9476209074237,-12849.998061115697
GMM,"n_components=2, covariance_type=diag",2,0,,0.0053366669453680515,0.3925887488274716,0.9417222873238239,3693.0090420611677,-14821.894871124365
GMM,"n_components=3, covariance_type=diag",3,0,,0.01486858306452632,0.23666831738030472,1.3403926249329585,2477.819541373999,-5739.060858021778
GMM,"n_components=4, covariance_type=diag",4,0,,0.01032804197166115,0.32326445407381543,0.9183384353532538,3641.735951868745,-13207.273068007904
GMM,"n_components=5, covariance_type=diag",5,0,,0.018061666982248425,0.1695214245053047,1.7268856040306617,1721.2402782491326,-616.3104226113786
GMM,"n_components=6, covariance_type=diag",6,0,,0.016214790986850858,0.1320917649446065,1.5168955519040328,1534.4625681034936,-334.16821735059716
GMM,"n_components=7, covariance_type=diag",7,0,,0.017842624918557703,0.2319007847621808,1.3429610853967053,2254.7418624834104,41.06549000676269
GMM,"n_components=8, covariance_type=diag",8,0,,0.020559667027555406,0.2053879719849354,1.2277684490181953,2396.0131415943706,-4047.1756703188694
GMM,"n_components=9, covariance_type=diag",9,0,,0.037579125026240945,0.16486506426851316,1.6623193939433412,1777.8845035269158,297.38274591017614
GMM,"n_components=10, covariance_type=diag",10,0,,0.04572266701143235,0.03576087791174596,1.9033699457642554,984.296942103955,4325.854443415821
GMM,"n_components=2, covariance_type=spherical",2,0,,0.00549791706725955,0.4054329046540743,0.8822915822052059,3771.2832094034393,-16742.464954299965
GMM,"n_components=3, covariance_type=spherical",3,0,,0.006340541993267834,0.41444627271519563,0.8166649154826962,4364.692453843249,-15259.94494466066
GMM,"n_components=4, covariance_type=spherical",4,0,,0.007347874925471842,0.38085498130497913,0.837160713452902,4291.735881487026,-14345.530072252157
GMM,"n_components=5, covariance_type=spherical",5,0,,0.009553584037348628,0.3340731172383475,0.8886135116828365,3788.885484796921,-13884.840473475946
GMM,"n_components=6, covariance_type=spherical",6,0,,0.014844916993752122,0.31511825790391923,1.0364448178928496,3407.0662120598954,-13663.673942020749
GMM,"n_components=7, covariance_type=spherical",7,0,,0.010653792065568268,0.32627627533099,0.9361934748992814,3504.7574676271042,-13554.49304938297
GMM,"n_components=8, covariance_type=spherical",8,0,,0.011176041094586253,0.30055982638964546,0.9692736567627198,3354.297430734246,-13321.50423161942
GMM,"n_components=9, covariance_type=spherical",9,0,,0.013196832966059446,0.29709547243941925,1.0703702018696708,3130.263471146528,-13261.13373001559
GMM,"n_components=10, covariance_type=spherical",10,0,,0.015361291007138789,0.2942031259898841,1.0926324994020131,3027.4286748969967,-13217.571909122898
HDBSCAN,"min_cluster_size=5, min_samples=None",32,522,,0.05235474999062717,-0.03862562993473528,1.3865519618357185,174.0052502044154,
HDBSCAN,"min_cluster_size=5, min_samples=5",32,522,,0.042162208002991974,-0.03862562993473528,1.3865519618357185,174.0052502044154,
HDBSCAN,"min_cluster_size=5, min_samples=10",9,694,,0.04122787492815405,-0.028519500110377398,1.994623122599948,640.2144256902448,
HDBSCAN,"min_cluster_size=10, min_samples=None",9,694,,0.04232499992940575,-0.028519500110377398,1.994623122599948,640.2144256902448,
HDBSCAN,"min_cluster_size=10, min_samples=5",15,518,,0.03941945801489055,0.027180489140526884,2.0996830392489065,362.4257699171311,
HDBSCAN,"min_cluster_size=10, min_samples=10",9,694,,0.041498417034745216,-0.028519500110377398,1.994623122599948,640.2144256902448,
HDBSCAN,"min_cluster_size=20, min_samples=None",6,893,,0.04341908299829811,0.05707957729107489,1.7527675576828188,970.2334204751251,
HDBSCAN,"min_cluster_size=20, min_samples=5",10,484,,0.04361329099629074,0.02450565044052294,2.5140476283614794,577.6083023849601,
