Invoice,StockCode,Description,Quantity,Price,TotalPrice,Customer ID,Country,InvoiceDate,IsCancelled,HasCustomerID,IsServiceCode,PriceAnomaly,OutlierType,IQR_upper_threshold,TimesOverThreshold,SignalBulkQuantity,SignalNonUK,SignalRepeatOutlierCustomer,LikelyB2B,IsUnflaggedServiceCode
581483,23843,"PAPER CRAFT , LITTLE BIRDIE",80995,2.08,168469.6,16446.0,United Kingdom,2011-12-09 09:15:00,False,True,False,False,IQR_upper,38.63,4361.67,True,False,False,True,False
541431,23166,MEDIUM CERAMIC TOP STORAGE JAR,74215,1.04,77183.6,12346.0,United Kingdom,2011-01-18 10:01:00,False,True,False,False,IQR_upper,38.63,1998.28,True,False,False,True,False
556444,22502,PICNIC BASKET WICKER 60 PIECES,60,649.5,38970.0,15098.0,United Kingdom,2011-06-10 15:28:00,False,True,False,False,IQR_upper,38.63,1008.93,True,False,False,True,False
537632,AMAZONFEE,AMAZON FEE,1,13541.33,13541.33,,United Kingdom,2010-12-07 15:08:00,False,False,False,False,IQR_upper,38.63,350.58,False,False,False,False,True
A563185,B,Adjust bad debt,1,11062.06,11062.06,,United Kingdom,2011-08-12 14:50:00,False,False,False,False,IQR_upper,38.63,286.4,False,False,False,False,True
567423,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,1412,5.06,7144.719999999999,17450.0,United Kingdom,2011-09-20 11:05:00,False,True,False,False,IQR_upper,38.63,184.98,True,False,True,True,False
540815,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,3114,2.1,6539.400000000001,15749.0,United Kingdom,2011-01-11 12:55:00,False,True,False,False,IQR_upper,38.63,169.3,True,False,True,True,False
550461,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,3114,2.1,6539.400000000001,15749.0,United Kingdom,2011-04-18 13:20:00,False,True,False,False,IQR_upper,38.63,169.3,True,False,True,True,False
573003,23084,RABBIT NIGHT LIGHT,2400,2.08,4992.0,14646.0,Netherlands,2011-10-27 12:11:00,False,True,False,False,IQR_upper,38.63,129.24,True,True,True,True,False
540815,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1930,2.55,4921.5,15749.0,United Kingdom,2011-01-11 12:55:00,False,True,False,False,IQR_upper,38.63,127.42,True,False,True,True,False
