model,iteration,n_sample,n_clusters,train_time,log_likelihood,mean_max_proba,low_confidence_ratio,n_noise,noise_ratio,inertia
GMM,0,3459,3,0.026117208995856345,-12138.977765549818,0.9272161185673683,0.14455044810638912,,,
GMM,1,3459,3,0.005720457993447781,-12105.785085355186,0.9291748555861279,0.13992483376698467,,,
GMM,2,3459,3,0.007030332926660776,-12235.726554502206,0.9273915111770866,0.14426134721017636,,,
GMM,3,3459,3,0.004439207958057523,-12181.601936057243,0.9297223142827447,0.14050303555941024,,,
GMM,4,3459,3,0.004291499964892864,-12291.864734155915,0.9269929404086585,0.14541775079502747,,,
GMM,5,3459,3,0.0040329169714823365,-12243.96610210221,0.9273482026399846,0.1488869615495808,,,
GMM,6,3459,3,0.0051756249740719795,-12124.019965146548,0.9294461137305348,0.1370338248048569,,,
GMM,7,3459,3,0.005677458946593106,-12268.92333379857,0.927297856561397,0.1436831454177508,,,
GMM,8,3459,3,0.005533833056688309,-12196.861596135914,0.9280807926767725,0.14397224631396358,,,
GMM,9,3459,3,0.006270207930356264,-12194.473672832319,0.9292167243837848,0.13934663197455913,,,
GMM,10,3459,3,0.004853332997299731,-12118.051121485885,0.93095551844956,0.1370338248048569,,,
GMM,11,3459,3,0.00571845902595669,-12170.935870624162,0.9269350561282147,0.14657415437987859,,,
GMM,12,3459,3,0.004603249952197075,-12198.095677260946,0.9299771183363684,0.14021393466319745,,,
GMM,13,3459,3,0.0039053750224411488,-12108.953409005215,0.9289131009939986,0.1436831454177508,,,
GMM,14,3459,3,0.0036582500906661153,-12263.964407878022,0.9265518845753219,0.1488869615495808,,,
GMM,15,3459,3,0.003703167079947889,-12143.654759268373,0.9316217980538258,0.13327551315409078,,,
GMM,16,3459,3,0.0048140420112758875,-12220.093200662632,0.9287316984724581,0.14137033824804857,,,
GMM,17,3459,3,0.004900000058114529,-12130.47247203795,0.9296108307912149,0.1384793292859208,,,
GMM,18,3459,3,0.004614416975528002,-12168.514748174108,0.9276806879733095,0.1436831454177508,,,
GMM,19,3459,3,0.006161500001326203,-12135.166790284766,0.9280068997674408,0.14281584272911246,,,
GMM,20,3459,3,0.004953583003953099,-12204.079560608045,0.9262538805641242,0.14426134721017636,,,
GMM,21,3459,3,0.003933708998374641,-12287.279579762902,0.9285546726041466,0.14021393466319745,,,
GMM,22,3459,3,0.004895040998235345,-12134.19002255547,0.9264751426865201,0.14946516334200635,,,
GMM,23,3459,3,0.005177667015232146,-12180.050282750748,0.9285242313815784,0.14570685169124023,,,
GMM,24,3459,3,0.0052197499899193645,-12234.062268500078,0.9273507095978997,0.14397224631396358,,,
GMM,25,3459,3,0.004148750100284815,-12282.893002089899,0.9277116717913305,0.14281584272911246,,,
GMM,26,3459,3,0.004000790999270976,-12250.373469979495,0.9280356400158536,0.14050303555941024,,,
GMM,27,3459,3,0.003760542022064328,-12260.110813975132,0.9260394297737604,0.14541775079502747,,,
GMM,28,3459,3,0.004650999908335507,-12124.544510818567,0.9291501760482378,0.1396357328707719,,,
GMM,29,3459,3,0.004333500051870942,-12190.622890721734,0.9289913486129868,0.14310494362532525,,,
GMM,30,3459,3,0.004098000004887581,-12343.398704558032,0.9250039521161617,0.14830875975715524,,,
GMM,31,3459,3,0.004023167071864009,-12161.330127978003,0.9285617592705684,0.1451286498988147,,,
GMM,32,3459,3,0.0051839579828083515,-12247.169716356138,0.9293000307198113,0.13934663197455913,,,
GMM,33,3459,3,0.004624874913133681,-12289.720972710646,0.9271352926960668,0.1451286498988147,,,
GMM,34,3459,3,0.004304375033825636,-12149.555189983643,0.9284851329596658,0.14079213645562302,,,
GMM,35,3459,3,0.004652332980185747,-12136.584598796018,0.9266433420246275,0.14657415437987859,,,
GMM,36,3459,3,0.005276083014905453,-12203.38450249928,0.9294051600162337,0.13761202659728244,,,
